Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Giant Eagle - Market District Settlers Ridge,100 Settlers Ridge Centre Dr,Campbell Run Rd and Settler Ridge,Pittsburgh,PA,15205,,412-788-5392,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,40.44145,-80.149752,2023-09-14,42395,2023-09-14 14:01:49 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Giant Eagle #43 - Pine Township,155 Towne Center Dr,,Wexford,PA,15090,,724-934-0155,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,40.632138,-80.054285,2023-09-14,42404,2023-09-14 14:01:49 UTC,P,,,2011-11-17,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Eaton Corp,1000 Cherrington Pkwy,,Moon,PA,15108,,412-893-3300,E,,Public,6am-6pm daily,,,,,,2,,,Non-Networked,,GPS,40.492883,-80.200182,2022-08-10,42966,2023-02-14 15:54:11 UTC,P,,,2012-01-17,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Rothrock Motor Sales,1648 Plaza Ln,Intersection of Route 22 and 15th Street.,Allentown,PA,18104,,610-439-8485,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-9,40.620508,-75.503287,2020-06-09,47733,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Courtesy Motor Sales,3100 Pleasant Valley Blvd,,Altoona,PA,16602,,814-944-2076,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.487078,-78.401324,2020-06-09,47735,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Ardmore Nissan,265 E Lancaster Ave,,Ardmore,PA,19003,,610-649-4400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.002954,-75.280533,2020-06-09,47737,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Beaver County Nissan,2777 Constitution Blvd,,Beaver Falls,PA,15010,,724-846-1660,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.780079,-80.390267,2020-06-09,47739,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Fitzgerald Nissan,1436 Lincoln Way E,,Chambersburg,PA,17201,,717-264-3359,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,39.925539,-77.620844,2022-03-07,47741,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Conicelli Nissan,1222 W Ridge Pike,,Conshohocken,PA,19428,,610-825-4200,E,,Public - Call ahead,Dealership business hours,,,,,,3,1,,Non-Networked,,200-9,40.102996,-75.308253,2022-03-07,47745,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Nissan of Devon,459 W Lancaster Ave,,Devon,PA,19333,,610-695-2900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.046627,-75.433254,2020-06-09,47747,2023-02-15 22:45:41 UTC,P,,,2019-11-16,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Fred Beans Nissan - Doylestown,4469 W Swamp Rd,,Doylestown,PA,18902,,215-345-6900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.334144,-75.13824,2020-06-09,47749,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Lancaster Nissan,5340 Manheim Pike,,East Petersburg,PA,17520,,717-569-1333,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,40.090978,-76.347247,2022-03-07,47751,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Interstate Nissan,8890 Peach St,,Erie,PA,16509,,814-860-8377,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.030304,-80.062158,2020-06-09,47753,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Exton Nissan,200 W Lincoln Hwy,,Exton,PA,19341,,610-594-7400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.026519,-75.633967,2020-06-09,47755,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Peruzzi Nissan,165 Lincoln Hwy,,Fairless Hills,PA,19030,,215-943-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.182893,-74.86217,2020-06-09,47757,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Colonial Nissan,117 Bustleton Pike,,Feasterville,PA,19053,,215-364-1100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.138619,-75.006859,2020-06-09,47759,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Star Nissan,5200 State Route 30,,Greensburg,PA,15601,,724-834-6100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.302578,-79.503192,2020-06-09,47761,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Faulkner Nissan,3925 Paxton St,,Harrisburg,PA,17111,,717-558-8220,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.252987,-76.820183,2020-06-09,47763,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Montrose Nissan,1455 N Hermitage Rd,,Hermitage,PA,16148,,724-962-1433,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,41.252329,-80.451653,2020-06-09,47765,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Mark Arbuckle Nissan,1080 Philadelphia St,,Indiana,PA,15701,,724-465-3100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.622852,-79.160508,2020-06-09,47767,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Faulkner Nissan,900 Old York Rd,,Jenkintown,PA,19046,,215-887-8870,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.10762929583178,-75.1241615423279,2020-06-09,47769,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Maguire's Nissan - Lebanon,2001 Cumberland St,,Lebanon,PA,17042,,717-272-7671,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.338996,-76.447073,2020-06-09,47771,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Nissan 42 - Limerick,55 Autopark Blvd,,Limerick,PA,19468,,610-495-1856,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.217505,-75.548137,2020-06-09,47773,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Montgomeryville Nissan,991 Bethlehem Pike,Intersection of Route 309 and Stump Rd,Montgomeryville,PA,18936,,215-661-9300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,40.225361,-75.232603,2022-03-07,47777,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Alexander Nissan,10 Alexander Dr,,Muncy,PA,17756,,570-546-4925,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,41.247703,-76.833589,2020-06-09,47781,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,#1 Cochran Nissan,3355 William Penn Hwy,,Pittsburgh,PA,15235,,412-824-9020,E,,Public - Call ahead,Dealership business hours; for customer use only,,,,,,1,1,,Non-Networked,,200-9,40.431599,-79.814633,2020-06-09,47784,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,,false
ELEC,Bowser Nissan,1001 Clairton Blvd,At intersection of Route 51 and Lewis Run Rd,Pleasant Hills,PA,15236,,412-469-2100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.319868,-79.941664,2020-06-09,47786,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Nissan of State College,3280 W College Ave,,State College,PA,16801,,814-238-2447,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.758961,-77.876218,2020-06-09,47788,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,O'Neil Nissan,849 W Street Rd,,Warminster,PA,18974,,215-674-9300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,40.210564,-75.105638,2022-03-07,47790,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,John Sisson Motors,470 Washington Rd,,Washington,PA,15301,,,E,,Public - Call ahead,Dealership business hours; contact 724-223-8600 for more information,,,,,,1,1,,Non-Networked,,GPS,40.189348,-80.213311,2020-06-09,47792,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Moyer Nissan,6210 Penn Ave,,Wernersville,PA,19565,,610-678-8071,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,GPS,40.33236521780578,-76.09201986295164,2020-06-09,47794,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Wright Automotive Group,10520 Perry Hwy,,Wexford,PA,15090,,,E,,Public - Call ahead,Dealership business hours; contact 724-935-4646 for more information,,,,,,1,1,,Non-Networked,,GPS,40.610785,-80.053089,2020-06-09,47796,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Ken Pollock Nissan,229 Mundy St,,Wilkes Barre,PA,18702,,570-819-0730,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.242652,-75.847205,2020-06-09,47798,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Apple Nissan,1510 Whiteford Rd,,York,PA,17402,,717-755-9504,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.981691,-76.699213,2020-06-09,47800,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Kenny Ross Nissan,22030 Route 19,Perry Highway,Zelienople,PA,16063,,,E,,Public - Call ahead,Dealership business hours; contact 724-452-7200 for more information,,,,,,1,1,,Non-Networked,,GPS,40.747335,-80.114043,2020-06-09,47802,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,University of Pittsburgh Medical Center East,2775 Mosside Blvd,Route 22 and Mosside,Monroeville,PA,15146,,412-357-3000,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-8,40.437014,-79.758458,2022-01-10,48305,2022-02-10 19:42:29 UTC,P,,,2012-07-02,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false
ELEC,Baum Blvd Automotive,4741 Baum Blvd,Baum Blvd & Bigelow Blvd,Pittsburgh,PA,15213,,412-682-1866,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-9,40.454312,-79.948765,2022-10-11,48308,2023-02-14 15:54:11 UTC,P,,,2012-06-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Giant Eagle - Shadyside,5550 Centre Ave,,Pittsburgh,PA,15232,,412-681-1500,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,40.456477,-79.935137,2022-10-11,49200,2023-02-14 15:54:11 UTC,P,,,2012-07-01,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,University of Pittsburgh Medical Center - Montefiore Hospital Parking Garage,3459 5th Ave,Enter garage from main driveway (Buffalo) off of Terrace Street,Pittsburgh,PA,15213,,412-647-3194,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,40.441085,-79.962199,2022-01-10,49459,2022-02-10 19:42:29 UTC,P,,,2011-11-17,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false
ELEC,University of Pittsburgh Medical Center - Presbyterian Hospital Parking Garage,255 Lothrop St,"Lothrop and Terrace Street, enter garage off of Lothrop St",Pittsburgh,PA,15213,,412-647-3194,E,,Public,24 hours daily,,,,,,5,,,Non-Networked,,GPS,40.442208,-79.961653,2022-01-10,49460,2022-02-10 19:42:29 UTC,P,,,2016-10-24,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false
ELEC,Chapman Nissan,6723 Essington Ave,,Philadelphia,PA,19153,,,E,,Public - Call ahead,Dealership business hours; contact 215-492-1200 for more information,,,,,,1,1,,Non-Networked,,GPS,39.910283,-75.223483,2022-03-07,49696,2023-02-14 15:54:11 UTC,P,,,2012-10-25,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Cochran Nissan,3200 W Liberty Ave,,Pittsburgh,PA,15216,,412-343-3200,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,GPS,40.390722,-80.040469,2020-06-09,49700,2023-02-15 22:45:41 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Loughead Nissan,755 S Chester Rd,,Swarthmore,PA,19081,,610-328-1500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.888301,-75.354763,2020-06-09,49704,2023-02-15 22:45:41 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Carnegie Museums of Pittsburgh,4400 Forbes Ave,Forbes Ave and Craig St,Pittsburgh,PA,15213,,412-622-3349,E,,Public,Museum business hours; pay lot,,,,,,1,,,Non-Networked,,GPS,40.443069,-79.948937,2022-08-10,50185,2023-02-14 15:54:11 UTC,P,,,2012-11-21,,,,,J1772,US,,,,Public,,public,,,MUSEUM,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,NEW MOTORS BMW STATION 01,8636 US-19,,Erie,PA,16509,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.035561,-80.066293,2023-11-21,60454,2023-11-21 00:06:56 UTC,,,,2014-02-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,BMW FW SERVICE SIDE,500 Pennsylvania Ave,,Fort Washington,PA,19034,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.13404,-75.207511,2023-11-21,60455,2023-11-21 00:06:53 UTC,,,,2014-02-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Drexel Hill Nissan,5018 Township Line Rd,,Drexel Hill,PA,19026,,610-449-2800,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.955612,-75.321745,2020-06-09,60904,2023-02-15 22:45:41 UTC,P,,,2014-02-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Laurel Nissan,1880 Bedford St,,Johnstown,PA,15902,,814-266-1364,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.30054,-78.886445,2020-06-09,60908,2023-02-15 22:45:41 UTC,P,,,2014-02-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,W&L Nissan,2039 N Susquehanna Trail,,Hummels Wharf,PA,17831,,570-884-1135,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.836286,-76.834656,2020-12-03,60910,2021-03-11 23:22:17 UTC,P,,,2014-02-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,P & W BMW STATION 01,837-899 S Millvale Ave,,Pittsburgh,PA,15213,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.454592,-79.947636,2023-11-21,61694,2023-11-21 00:06:40 UTC,,,,2014-05-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Tom Masano Ford,1600 Lancaster Ave,,Reading,PA,19607,,610-777-1371,E,,Public - Call ahead,Customer Use Only,,,,,,1,,,Non-Networked,,200-9,40.309943,-75.952676,2023-08-10,63621,2023-08-10 16:58:49 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false
ELEC,Shults Ford Lincoln,10401 Perry Hwy,,Wexford,PA,15090,,,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,1,,,Non-Networked,,200-9,40.605571,-80.051469,2023-08-10,63640,2023-08-10 16:58:49 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false
ELEC,Springfield Ford Lincoln,50 Baltimore Pike,,Springfield,PA,19064,,610-544-0700,E,,Public,Business hours,,,,,,2,,,Non-Networked,,200-9,39.924598,-75.314275,2021-10-12,63712,2023-08-11 19:56:06 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false
ELEC,Pacifico Ford,6701 Essington Ave,,Philadelphia,PA,19153,,877-349-3923,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,39.913015,-75.223375,2021-10-12,63713,2023-11-14 19:22:03 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
