the_geom,cartodb_id,portfolio_bldg_id,BEPP_compliance_group,BEPP_compliance_cycle_one_status,property_name,address,postal_code,primary_property_type,sector,floor_area,year_built,number_of_buildings,phl_bldg_id,electricity_2019,natural_gas_2019,fuel_oil_2019,steam_2019,energy_star_2019,site_eui_2019,source_eui_2019,water_use_2019,total_ghg_2019,water_score_2019,electricity_2020,natural_gas_2020,fuel_oil_2020,steam_2020,energy_star_2020,site_eui_2020,source_eui_2020,water_use_2020,total_ghg_2020,water_score_2020,electricity_2021,natural_gas_2021,fuel_oil_2021,steam_2021,energy_star_2021,site_eui_2021,source_eui_2021,water_use_2021,total_ghg_2021,water_score_2021,x_coord,y_coord
0101000020E6100000040D89BD88CC52C0C7D124CAC1F94340,89,3687631,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,The Wistar Institute,3601-37 SPRUCE ST,19104,Laboratory,Laboratory,255427,1894,1,773542000,42527304.48,39822.52541,,32714439.6,,294.7,620.4,11268.8,6482.8,,,,,,,,,,,,,,,,,,,,,,-75.19584597,39.95122649
0101000020E6100000A52F849CF7C952C04E7785DBADF94340,135,1299442,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,PA0143ZZ-RN NIX FED BLDG & USPO,901-15 CHESTNUT ST,19107,Office,Office,404950,1973,1,781051010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.155738,39.95061821
0101000020E6100000D9BAAB890BCB52C08F268BB9F3FA4340,180,3927653,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,Barnes Foundation,2025L BENJ FRANKLIN PKY,19130,Museum,Museum,98388,2012,1,782425810,10524310.59,584927.635,,1512854,,128.3,318,5701.1,1106.3,,,,,,,,,,,,,,,,,,,,,,-75.17257921,39.96056289
0101000020E610000020B825CD3AC852C035DBEC7A2F074440,297,11570628,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,600 West Cheltenham Ave,600 W CHELTENHAM AVE,19126,Residential Care Facility,Multifamily,71096,1950,1,881447900,3955582.78,5454934.228,,,,132.4,236.3,5301.2,690.5,,4084372.1,5571590.2,,,,135.8,243.1,,686.9,,4217170.6,5571590.3,,,,137.7,248.4,,687.5,,-75.12858895,40.05613648
0101000020E6100000092220992DCE52C0AF58267029FA4340,459,4943435,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Exempt,The Terrace,4931-59 SPRUCE ST,19139,Multifamily Housing,Multifamily,68550,1925,,881215555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.22153309,39.95438959
0101000020E6100000673BF07B65C952C020FD40037BF94340,521,3721208,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,National Liberty Museum,321-23 CHESTNUT ST,19106,Museum,Museum,84410,1905,1,771737000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.1468191,39.94906655
0101000020E610000048EAB1EBE6C752C0BD2552FD77014440,638,4479913,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,"Julius Silvert, Inc",223-43 E LUZERNE ST,19124,Food Sales,Warehouse,102000,1970,,884052000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.12346928,40.01147429
0101000020E6100000A08DD8FEC0CD52C07AB7C370BFFF4340,710,3989764,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,Methodist Home for Children,4300 MONUMENT RD,19131,Mixed Use Property,Other,114073,1900,,881445900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.21490451,39.9980298
0101000020E6100000205AD0202ACB52C030E88C410A044440,785,3707291,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,Pennsylvania School for the Deaf,100-52 W SCHOOL HOUSE LA,19144,K-12 School,School (K-12),83271,1984,7,775530500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.1744463,40.03156299
0101000020E6100000C384B09E83C852C0B67C0B889CFB4340,802,5895579,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,1020-1080 N. Delaware Ave.,1020-84 N DELAWARE AVE,19125,Other,Office,152784,1905,1,883365000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.13303344,39.96571446
0101000020E61000006A9956548ECA52C0409072E68DF94340,975,5017442,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Exempt,1411 Walnut St.,1411-19 WALNUT ST,19102,Multifamily Housing,Multifamily,118879,1942,,881012220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.1649371,39.94964295
0101000020E61000000A0D27DD54CA52C00E41BC4BB5F94340,989,5025472,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Exempt,L A 1229 Chestnut St.,1229-37 CHESTNUT ST,19107,Multifamily Housing,Multifamily,267023,1914,,881302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.16142968,39.95084521
0101000020E610000076A49F157DC352C0F71253B7ED054440,1039,3954726,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,Roosevelt Mall-Macy's Building,7350 E ROOSEVELT BLV,19149,Retail Store,Retail,313000,1960,1,882065510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.05450955,40.04631702
0101000020E610000019DA4AF91ACB52C0B5515BF291F24340,1065,1960820,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,L02152 - Three Crescent Drive,3 CRESCENT DR,19112,Office,Office,95800,2008,1,883812800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.17352135,39.89507894
0101000020E61000006E75EF9745CB52C087C204C125FA4340,1085,5022435,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Exempt,2121 Market St.,2121-41 MARKET ST,19103,Multifamily Housing,Multifamily,168365,1915,,881035600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.17612265,39.95427716
0101000020E610000004628684B7CA52C03650C700DCF94340,1160,3682894,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,Liberty Place,20 S 16TH ST,19109,Parking,Parking,434000,1986,,883422300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.16745103,39.95202646
0101000020E6100000488DA606DCC852C0CEACBE1DD5FA4340,1182,3858135,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,Philadelphia Warehousing and Cold Storage,500 N CHRIS COLUMBUS BLV,19123,Refrigerated Warehouse,Warehouse,335538,1891,1,884019026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.13842932,39.95962879
0101000020E610000075468C853ECB52C0BF918A1068024440,1278,2474727,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,PA0000AT - WISSAHICKON FED BLDG,5000 WISSAHICKON AVE,19144,Office,Office,449021,1998,1,784484005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.17569102,40.0188008
0101000020E6100000A0A4654925C952C07651D3B2DEF94340,1384,5544383,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Exempt,Pottery,105 N 2ND ST,19106,Multifamily Housing,Multifamily,50997,1940,1,881006050,399381.424,,,,,7.8,21.9,1005.8,38.2,,,,,,,,,,,,,,,,,,,,,,-75.1429008,39.95210872
0101000020E610000049A8CFC4AAC952C06194DA6A5AF94340,1491,1516994,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036","Expected to Comply September 30th, 2023",Curtis Center,170 S INDEPENDENCE W ML,19106,Office,Office,1141839,1910,,883002510,,,,,,,,,,,36015809.6,22568340.3,,,65,62.2,132.2,12635.6,4645.8,,37395281.2,26177489.6,,,55,67.5,140.3,22141.7,4862.7,,-75.1510479,39.94807182
0101000020E6100000E6AE670056C952C073092C25F0F94340,1517,5219727,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Exempt,The Arch Condominiums,315 ARCH ST,19106,Multifamily Housing,Multifamily,70826,1925,,888038332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.14587412,39.95264115
0101000020E61000002E18BF9DC2CA52C07ABD2463EFF84340,1592,18749962,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,698-Skilled Nursing & Rehab-Philadelphia,1526 LOMBARD ST,19146,Outpatient Rehabilitation/Physical Therapy,Medical Office,99240,1818,1,881436700,,,,,,,,,,,,,,,,,,,,,3597063.5,3782400.3,,,77,74.4,141.5,11928,534.9,,-75.16812843,39.94480552
